time,seconds_elapsed,lux
1686155329493237200,1156.8492373046874,377
1686155329553692700,1156.909692626953,372
1686155329614147800,1156.9701479492187,375
1686155329674633700,1157.0306337890624,372
1686155329795513900,1157.1515139160156,361
1686155329855969300,1157.2119692382812,358
1686155329992962600,1157.3489626464843,365
1686155330053418000,1157.40941796875,375
1686155330113842700,1157.4698427734374,377
1686155330234722800,1157.5907229003906,372
1686155330355603000,1157.7116030273437,375
1686155330416058400,1157.7720583496093,372
1686155330794842400,1158.1508422851562,370
1686155331173657000,1158.5296569824218,368
1686155331234082000,1158.59008203125,370
1686155331294537200,1158.650537109375,365
1686155331354962200,1158.710962158203,363
1686155331475842300,1158.8318422851562,358
1686155331536297500,1158.8922973632812,356
1686155331673229800,1159.029229736328,354
1686155331794140700,1159.150140625,351
1686155331975445500,1159.3314455566406,349
1686155332096417300,1159.452417236328,347
1686155332233532700,1159.5895327148437,351
1686155332293988000,1159.6499880371093,356
1686155332414868200,1159.7708681640624,340
1686155332475323400,1159.831323486328,330
1686155332535748400,1159.8917482910156,333
1686155332596203500,1159.9522036132812,342
1686155332854138000,1160.2101381835937,344
1686155332914593500,1160.2705935058593,337
1686155332975048700,1160.3310485839843,335
1686155333035504000,1160.3915041503906,333
1686155333156475600,1160.5124755859374,335
1686155333216900600,1160.5729006347656,340
1686155333353833000,1160.7098330078124,347
1686155333414257700,1160.7702575683593,344
1686155333474713000,1160.8307131347656,342
1686155333535137800,1160.8911376953124,335
1686155333595593200,1160.9515932617187,333
1686155333716565000,1161.0725649414062,337
1686155333776989700,1161.1329897460937,344
1686155333913952500,1161.269952392578,347
1686155333974408000,1161.3304079589843,344
1686155334034863000,1161.3908630371093,347
1686155334095318500,1161.4513186035156,349
1686155334155774000,1161.5117739257812,344
1686155334216198700,1161.5721987304687,342
1686155334276654000,1161.6326540527343,344
1686155334337078800,1161.6930788574218,342
1686155334655957000,1162.01195703125,344
1686155335156079000,1162.5120791015624,347
1686155335216503800,1162.57250390625,344
1686155335276989700,1162.6329897460937,347
1686155335595593200,1162.9515932617187,349
1686155335656079000,1163.0120791015624,354
1686155335716565000,1163.0725649414062,361
1686155335777020200,1163.1330202636718,358
1686155335898022400,1163.2540224609374,361
1686155335958508300,1163.3145083007812,358
1686155336155957000,1163.51195703125,356
1686155336216412400,1163.5724123535156,354
1686155336276898000,1163.6328979492187,351
1686155336337323000,1163.6933229980468,344
1686155336397747700,1163.7537478027343,335
1686155336458203100,1163.814203125,328
1686155336518872000,1163.8748720703124,309
1686155336579327200,1163.9353271484374,300
1686155336716259600,1164.0722595214843,291
1686155336776684500,1164.1326845703124,293
1686155336837139700,1164.1931396484374,295
1686155336897620500,1164.253620361328,300
1686155337018958300,1164.374958251953,302
1686155337079444200,1164.4354443359375,300
1686155337139930000,1164.4959301757813,302
1686155337397925600,1164.7539255371094,305
1686155337518866700,1164.8748666992187,307
1686155337579261000,1164.935260986328,309
1686155337639716400,1164.9957163085937,314
1686155337837043000,1165.19304296875,316
1686155337897528800,1165.2535288085937,319
1686155337957984300,1165.313984375,321
1686155338018439400,1165.374439453125,323
1686155338078925300,1165.4349252929687,321
1686155338260291300,1165.6162912597656,323
1686155338397223700,1165.7532236328125,335
1686155338457648400,1165.8136484375,333
1686155338518103800,1165.8741037597656,326
1686155338578528500,1165.934528564453,323
1686155338699439400,1166.055439453125,321
1686155338759925000,1166.115925048828,316
1686155338820411000,1166.1764108886719,314
1686155338957465300,1166.3134653320312,319
1686155339017920800,1166.3739206542969,321
1686155339138831400,1166.494831298828,319
1686155339199256000,1166.5552561035156,321
1686155339259742000,1166.6157419433594,319
1686155339380713700,1166.7367136230469,321
1686155339517768200,1166.873768310547,333
1686155339578223400,1166.9342233886719,328
1686155339638678800,1166.9946787109375,323
1686155339699134200,1167.0551342773438,321
1686155339820044800,1167.176044921875,323
1686155339880500000,1167.2365,326
1686155339940955400,1167.2969553222656,328
1686155340078223400,1167.4342233886719,330
1686155340138678800,1167.4946787109375,326
1686155340199103500,1167.555103515625,323
1686155340259559000,1167.6155588378906,321
1686155340319983600,1167.675983642578,323
1686155340440863700,1167.7968637695312,330
1686155340699317200,1168.0553171386719,326
1686155340759772400,1168.1157724609375,330
1686155340880713700,1168.2367136230469,326
1686155341501227500,1168.8572275390625,328
1686155341561652500,1168.9176525878906,326
1686155341759131600,1169.1151315917969,328
1686155341879981300,1169.2359812011719,330
1686155341940772400,1169.2967724609375,328
1686155342001227500,1169.3572275390625,330
1686155342122138400,1169.4781384277344,328
1686155342319617500,1169.6756174316406,333
1686155342440772400,1169.7967724609375,330
1686155342561683000,1169.917682861328,333
1686155342742987800,1170.0989877929687,330
1686155342879950800,1170.2359509277344,335
1686155343303046400,1170.6590463867187,337
1686155343440802800,1170.796802734375,340
1686155343561683000,1170.917682861328,342
1686155343682563000,1171.0385629882812,344
1686155343742987800,1171.0989877929687,342
1686155344061225200,1171.4172250976562,340
1686155344121680400,1171.4776804199219,342
1686155344182105300,1171.5381052246094,337
1686155344242560500,1171.598560546875,340
1686155344621283800,1171.977283935547,335
1686155344681739000,1172.0377390136719,340
1686155344742164000,1172.0981640625,337
1686155344802619100,1172.158619140625,340
1686155344984015600,1172.340015625,342
1686155345423224600,1172.779224609375,340
1686155345483680000,1172.8396799316406,342
1686155345681098200,1173.0370981445312,340
1686155345741523000,1173.0975229492187,342
1686155345801978400,1173.1579782714844,340
1686155345862616800,1173.2186169433594,342
1686155346104407600,1173.460407470703,340
1686155346241553400,1173.5975534667969,342
1686155346301978400,1173.6579782714844,340
1686155346423072000,1173.7790720214844,342
1686155346483527400,1173.83952734375,340
1686155346543952100,1173.8999521484375,342
1686155346802222600,1174.15822265625,340
1686155346862922000,1174.218921875,342
1686155347362692900,1174.7186928710937,349
1686155347423117600,1174.7791176757812,351
1686155347543997700,1174.8999978027343,356
1686155347604453000,1174.960453125,358
1686155347664908300,1175.020908203125,356
1686155347725363700,1175.0813637695312,354
1686155347923087000,1175.279087158203,349
1686155347983511800,1175.33951171875,344
1686155348104392000,1175.460391845703,347
1686155348164847400,1175.5208474121093,344
1686155348285727500,1175.6417275390625,342
1686155348346182700,1175.7021826171874,344
1686155348604086800,1175.9600866699218,342
1686155348664511700,1176.02051171875,344
1686155348845847000,1176.201846923828,347
1686155349043234800,1176.3992348632812,349
1686155349224539600,1176.5805395507812,347
1686155349284934000,1176.6409338378905,349
1686155349345389300,1176.7013894042968,344
1686155349405814000,1176.7618139648437,347
1686155349603201800,1176.9592019042968,344
1686155349724082000,1177.08008203125,347
1686155349965811700,1177.321811767578,344
1686155350026267100,1177.3822670898437,347
1686155350525870300,1177.881870361328,344
1686155350586295000,1177.942294921875,347
1686155350723227400,1178.0792272949218,344
1686155350844168700,1178.2001687011718,342
1686155351465292800,1178.8212927246093,340
1686155351525748200,1178.8817482910156,342
1686155351844382200,1179.2003823242187,337
1686155351904868000,1179.2608681640625,340
1686155352207327700,1179.5633276367187,342
1686155352465598000,1179.8215979003905,337
1686155352526083800,1179.8820837402343,340
1686155352586600200,1179.9426000976562,337
1686155352647086000,1180.0030861816406,340
1686155352828543700,1180.1845437011718,337
1686155352965720000,1180.321719970703,340
1686155353026206000,1180.3822060546875,337
1686155353086691800,1180.4426918945312,340
1686155353207633000,1180.5636328125,337
1686155353268118800,1180.6241188964843,340
1686155353526175500,1180.8821755371093,337
1686155353647147000,1181.0031469726562,340
1686155353768057900,1181.124057861328,337
1686155353828543700,1181.1845437011718,335
1686155353889029400,1181.245029296875,337
1686155354086630700,1181.4426306152343,340
1686155354147116500,1181.503116455078,337
1686155354207602400,1181.5636025390625,340
1686155354328604700,1181.684604736328,342
1686155354449607000,1181.8056069335937,344
1686155354510092800,1181.8660927734375,342
1686155354647269000,1182.0032690429687,340
1686155354707755000,1182.063755126953,344
1686155354768271400,1182.1242712402343,342
1686155354889273600,1182.2452736816406,344
1686155355010245400,1182.366245361328,340
1686155355207785500,1182.5637854003905,342
1686155355268271400,1182.6242712402343,344
1686155355328757200,1182.6847573242187,342
1686155355570639600,1182.9266396484375,349
1686155355631094800,1182.9870947265624,351
1686155355768149200,1183.1241491699218,349
1686155355828574200,1183.18457421875,344
1686155356009909500,1183.365909423828,347
1686155356070395400,1183.4263955078125,344
1686155356191306000,1183.547305908203,342
1686155356388785400,1183.7447854003906,340
1686155356449240600,1183.8052404785155,337
1686155356752005600,1184.1080056152343,340
1686155356949617200,1184.3056171875,337
1686155357010103000,1184.3661030273438,340
1686155357070558200,1184.4265581054688,342
1686155357131044000,1184.4870441894532,340
1686155357312471000,1184.6684709472656,342
1686155357449678000,1184.8056779785156,340
1686155357510164000,1184.8661640625,342
1686155357752138000,1185.1081379394532,344
1686155358010316500,1185.3663166503907,340
1686155358070802400,1185.4268024902344,344
1686155358131288300,1185.4872883300782,340
1686155358252229400,1185.6082294921875,342
1686155358373201200,1185.729201171875,340
1686155358433687000,1185.7896870117188,344
1686155358631288300,1185.9872883300782,342
1686155358691743500,1186.0477434082031,344
1686155358933595400,1186.2895954589844,342
1686155358994081300,1186.3500812988282,344
1686155359191713000,1186.5477131347657,340
1686155359252168400,1186.6081684570313,344
1686155359312684800,1186.6686848144532,340
1686155359433656300,1186.78965625,342
1686155359494172700,1186.8501726074219,344
1686155359752321000,1187.108321044922,342
1686155359994233900,1187.3502338867188,344
1686155360054719700,1187.4107197265625,342
1686155360252626200,1187.6086262207032,344
1686155360313081300,1187.6690812988281,342
1686155360434053000,1187.7900532226563,344
1686155360494539000,1187.8505390625,342
1686155360555025000,1187.9110249023438,344
1686155360813173000,1188.1691730957032,342
1686155360873659000,1188.229658935547,344
1686155360934144800,1188.2901447753907,342
1686155360994630700,1188.3506306152344,344
1686155361055085800,1188.4110859375,342
1686155361176057600,1188.5320576171875,344
1686155361236543500,1188.5925434570313,342
1686155361373628400,1188.7296284179688,351
1686155361434053000,1188.7900532226563,356
1686155361494508500,1188.850508544922,361
1686155361554994400,1188.9109943847657,363
1686155361615449600,1188.9714497070313,361
1686155361675935500,1189.031935546875,363
1686155361736421400,1189.0924213867188,384
1686155361796907300,1189.1529072265625,414
1686155361934083600,1189.2900834960938,403
1686155361994569500,1189.3505695800782,398
1686155362055055400,1189.411055419922,393
1686155362115571700,1189.4715717773438,377
1686155362176027100,1189.5320270996094,370
1686155362236512800,1189.5925126953125,363
1686155362297029000,1189.6530290527344,372
1686155362357545500,1189.7135454101563,370
1686155362494661000,1189.8506611328125,368
1686155362676088000,1190.0320881347657,386
1686155362736574000,1190.0925739746094,384
1686155362797059800,1190.1530598144532,382
1686155362857545500,1190.2135454101563,379
1686155363054963700,1190.4109636230469,372
1686155363115297000,1190.4712971191407,370
1686155363175752400,1190.5317524414063,365
1686155363357087700,1190.7130876464844,363
1686155363478029000,1190.8340290527344,370
1686155363615175000,1190.9711748046875,382
1686155363675630300,1191.0316303710938,384
1686155363857026800,1191.2130268554688,377
1686155363917482000,1191.2734819335938,375
1686155363977967900,1191.3339677734375,370
1686155364175599900,1191.5315998535157,361
1686155364357026800,1191.7130268554688,358
1686155364417512700,1191.7735126953125,347
1686155364477998300,1191.8339982910156,337
1686155364538453800,1191.894453857422,342
1686155364598939600,1191.9549396972657,349
